50

2

200

1236

0 32 30 10 296 476 90
1 20 80 40 317 497 90
2 33 32 20 19 199 90
3 42 66 10 16 196 90
4 15 80 10 222 402 90
5 28 55 10 665 845 90
6 25 55 10 572 752 90
7 5 35 10 224 404 90
8 23 52 10 199 379 90
9 2 40 20 319 499 90
10 35 32 10 111 291 90
11 15 75 20 127 307 90
12 42 68 10 665 845 90
13 25 50 10 15 195 90
14 10 40 30 31 211 90
15 20 85 40 412 592 90
16 25 85 20 597 777 90
17 10 35 20 129 309 90
18 35 66 10 294 474 90
19 8 45 20 694 874 90
20 30 32 30 389 569 90
21 8 40 40 33 213 90
22 30 50 10 10 190 90
23 22 75 30 30 210 90
24 30 52 20 850 1030 90
25 0 45 20 506 686 90
26 0 40 30 411 591 90
27 45 68 10 850 1030 90
28 25 52 40 107 287 90
29 40 66 20 108 288 90
30 18 75 20 34 214 90
31 20 50 10 292 472 90
32 28 52 20 758 938 90
33 38 70 10 480 660 90
34 35 69 10 387 567 90
35 20 55 10 387 567 90
36 42 65 10 15 195 90
37 40 69 20 572 752 90
38 26 32 10 758 938 90
39 22 85 10 504 684 90
40 23 55 20 480 660 90
41 38 68 20 200 380 90
42 35 30 10 203 383 90
43 33 35 10 16 196 90
44 5 45 10 601 781 90
45 28 35 10 944 1124 90
46 28 30 10 573 753 90
47 45 70 30 758 938 90
48 30 30 10 481 661 90
49 30 35 10 947 1127 90
50 40 50 0 0 1236 0

1
