50

2

200

240

0 95 35 20 62 92 10
1 20 82 10 37 67 10
2 35 5 20 154 184 10
3 10 40 30 119 149 10
4 38 5 30 65 95 10
5 87 30 10 131 161 10
6 8 45 20 0 197 10
7 22 85 10 0 190 10
8 55 85 20 128 158 10
9 8 40 40 59 89 10
10 10 35 20 91 121 10
11 67 85 20 139 169 10
12 2 45 10 45 75 10
13 92 30 10 62 92 10
14 60 80 10 37 67 10
15 60 85 30 85 115 10
16 90 35 10 67 97 10
17 25 85 20 0 191 10
18 85 25 10 51 81 10
19 42 15 10 122 152 10
20 38 15 10 148 178 10
21 55 80 10 33 63 10
22 65 82 10 0 189 10
23 62 80 30 75 105 10
24 5 35 10 142 172 10
25 15 75 20 0 194 10
26 65 85 40 43 73 10
27 42 10 40 72 102 10
28 18 80 10 113 143 10
29 15 80 10 91 121 10
30 20 80 40 141 171 10
31 5 45 10 35 65 10
32 2 40 20 58 88 10
33 22 75 30 0 199 10
34 40 15 40 92 122 10
35 95 30 30 0 171 10
36 0 45 20 149 179 10
37 18 75 20 95 125 10
38 42 12 10 104 134 10
39 42 5 10 0 184 10
40 0 40 20 72 102 10
41 72 35 30 0 194 10
42 58 75 20 92 122 10
43 44 5 20 87 117 10
44 88 35 20 0 179 10
45 40 5 10 0 185 10
46 85 35 30 0 182 10
47 88 30 10 74 104 10
48 55 82 10 64 94 10
49 20 85 20 0 189 10
50 40 50 0 0 240 0

2
