25

3

200

230

0 65 20 6 47 186 10
1 55 5 29 36 155 10
2 55 60 16 53 150 10
3 30 25 23 70 208 10
4 65 35 3 118 190 10
5 55 45 13 106 135 10
6 35 17 7 20 89 10
7 15 10 20 32 137 10
8 20 50 5 66 105 10
9 5 30 2 51 189 10
10 45 10 18 59 144 10
11 30 60 16 101 156 10
12 15 30 26 20 107 10
13 50 35 19 38 97 10
14 30 5 8 30 154 10
15 45 65 9 109 152 10
16 10 20 19 54 105 10
17 55 20 19 71 195 10
18 25 30 3 54 153 10
19 41 49 10 130 201 10
20 20 40 12 77 106 10
21 15 60 17 53 108 10
22 45 20 11 37 96 10
23 20 65 12 33 152 10
24 10 43 9 61 138 10
25 35 35 0 0 230 0

2
