25

2

200

1236

0 38 70 10 534 605 90
1 25 50 10 0 1131 90
2 25 52 40 169 224 90
3 15 80 10 0 1106 90
4 25 85 20 0 1107 90
5 38 68 20 255 324 90
6 30 50 10 0 1136 90
7 35 66 10 0 1129 90
8 28 52 20 0 1133 90
9 30 52 20 0 1135 90
10 40 69 20 0 1127 90
11 40 66 20 0 1130 90
12 42 68 10 727 782 90
13 28 55 10 732 777 90
14 45 70 30 0 1125 90
15 20 85 40 0 1105 90
16 22 75 30 30 92 90
17 35 69 10 448 505 90
18 20 80 40 384 429 90
19 22 85 10 0 1106 90
20 42 66 10 0 1129 90
21 42 65 10 0 1130 90
22 15 75 20 0 1110 90
23 45 68 10 0 1127 90
24 18 75 20 0 1112 90
25 40 50 0 0 1236 0

3
